transaction_id,account_no,transaction_date,transaction_type,amount,currency,description
TXN10001,ACC1001,2026-09-25,CREDIT,25000,INR,Salary credit
TXN10002,ACC1002,2026-09-25,DEBIT,4500,INR,Utility payment
TXN10003,ACC1003,2026-09-24,CREDIT,15000,USD,Foreign remittance
TXN10004,ACC1004,2026-09-25,DEBIT,3200,INR,ATM withdrawal
TXN10005,ACC1005,2026-09-25,CREDIT,85000,EUR,Investment proceeds
TXN10006,ACC1006,2026-09-25,DEBIT,-7500,INR,Loan repayment
TXN10007,ACC1007,2026-09-25,CREDIT,12500,GBP,Unsupported currency
TXN10008,ACC1008,2026-09-25,DEBIT,2100,INR,Card payment
TXN10009,,2026-09-25,CREDIT,18000,INR,Missing account
TXN10010,ACC1010,,DEBIT,3500,INR,Missing transaction date
TXN10011,ACC1011,2026-09-31,CREDIT,22000,INR,Invalid date
TXN10012,ACC1012,25-09-2026,DEBIT,1800,INR,Incorrect date format
TXN10013,ACC1013,2026-09-25,DEBIT,5000,JPY,Unsupported currency
TXN10014,ACC1014,2026-09-25,CREDIT,32000,INR,Normal transaction
TXN10015,ACC1015,2026-09-25,DEBIT,2750,INR,Merchant payment
TXN10015,ACC1016,2026-09-25,CREDIT,2750,INR,Duplicate transaction ID
TXN10016,ACC1017,2026-09-25,,4500,INR,Missing transaction type
TXN10017,ACC1018,2026-09-25,DEBIT,,INR,Missing amount
TXN10018,ACC1019,2026-09-25,CREDIT,12500,AUD,Unsupported currency
TXN10019,ACC1020,2026-09-25,DEBIT,8900,INR,Normal transaction
TXN10020,,2026-09-25,,,-,Multiple missing fields
